Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige
Emnid,CDU in,T- 1.000,18.10.2007,,45%,31%,10%,7%,4%,,
Infratest,ARD,T- 1.000,06.09.2007,,44%,34%,9%,7%,3%,,
Forsa,n-tv,T- 1.160,16.08.2007,,47%,29%,9%,7%,4%,,
Forsa,n-tv,T- 1.047,31.05.2007,,46%,29%,9%,8%,4%,,
Infratest,SPD-LV,T- 1.000,21.05.2007,,41%,36%,8%,8%,4%,,
Forsa,n-tv,T- 1.193,15.02.2007,,46%,29%,9%,9%,3%,,
Infratest,NDR,T- 1.000,26.01.2007,,43%,34%,10%,8%,2 %*,,
Forsa,n-tv,T- 1.080,16.11.2006,,45%,29%,8%,10%,4%,,
Forsa,n-tv,T- 1.054,19.10.2006,,44%,30%,9%,10%,4%,,
Infratest,NDR,T- 1.000,30.08.2006,,40%,36%,9%,8%,4 %*,,
Forsa,Neue,T- 1.086,03.08.2006,,46%,31%,8%,9%,3%,,
Forsa,n-tv,T- 1.039,08.06.2006,,42%,36%,8%,8%,3%,,
Infratest,NDR,T- 1.000,24.02.2006,,42%,37%,7%,8%,4 %*,,
Forsa,SPD,T- 1.000,01.03.2005,,43%,37%,10%,7%,–,,
Emnid,CDU,T,28.02.2005,,44%,34%,10%,7%,–,,
Infratest,NDR,T- 1.000,03.02.2004,,51%,29%,8%,8%,–,,
GMS,Staatskanzlei,T- 1.000,25.01.2004,,48.50%,30.50%,9.00%,8.50%,–,,
Emnid,CDU,T- 1.000,10.06.2003,,48%,31%,10%,8%,1%,,
Landtagswahl am 02.02.2003,,,,,48.30%,33.40%,7.60%,8.10%,0.50%,,
Forsa,RTL,T- 1.014,31.01.2003,,48%,33%,8%,7%,–,,
Forsa,Stern,T- 1.103,29.01.2003,,48%,35%,8%,6%,–,,
Emnid,n-tv,T,23.01.2003,,46%,37%,9%,5%,–,,
Infratest,NDR,T- 1.000,22.01.2003,,48%,36%,7%,5%,–,,
Forsa,Stern,1008,22.01.2003,,48%,36%,8%,5%,–,,
Infratest,NDR,T- 1.000,15.01.2003,,46%,37%,8%,6%,–,,
Forsa,Stern,T- 1.027,15.01.2003,,46%,37%,9%,5%,–,,
Forschungs-,ZDF,T- 1.044,10.01.2003,,45%,37%,8%,6%,–,,
Forsa,Stern,T- 1.122,07.01.2003,,46%,36%,10%,5%,–,,
Infratest,NDR,T- 1.000,06.12.2002,,45%,40%,7%,5%,–,,
Emnid,CDU,T- 1.003,22.11.2002,,43%,34%,12%,6%,–,,
Forsa,SPD,T- Nachwahl-,23.09.2002,,36.50%,47%,7.50%,4.50%,–,,
Emnid,Hit-Radio,T- 1.000,06.09.2002,,38%,42%,7%,8%,–,,
Infratest,NDR,T- 1.000,14.06.2002,,35%,45%,6%,11%,–,,
Emnid,Hit-Radio,T,31.05.2002,,39%,37%,6%,12%,–,,
Forsa,SPD,T,17.04.2002,,41%,43%,6%,4%,–,,
Emnid,Hit-Radio,T- 1.000,01.03.2002,,43%,37%,7%,8%,2%,,
Forsa,SPD,T- 1.327,01.03.2002,,39%,43%,6%,5%,–,,
Infratest,NDR,T,31.08.2001,,36%,44%,6%,9%,–,,
Forsa,Staatskanzlei,T,22.06.2001,,37%,46%,7%,5%,–,,
Forsa,Staatskanzlei,T,20.02.2001,,35%,48%,7%,5%,–,,
Forsa,SPD,T,28.10.1999,,46%,41%,6%,4%,–,,
Infratest,NDR,T- 1.000,28.10.1999,,46%,41%,5%,4%,–,,
Landtagswahl am 01.03.1998,,,,,35.90%,47.90%,7.00%,4.90%,–,,
Landtagswahl am 13.03.1994,,,,,36.40%,44.30%,7.40%,4.40%,–,,
Landtagswahl am 13.05.1990,,,,,42.00%,44.20%,5.50%,6.00%,–,,
Landtagswahl am 15.06.1986,,,,,44.30%,42.10%,7.10%,6.00%,–,,
Landtagswahl am 21.03.1982,,,,,50.70%,36.50%,6.50%,5.90%,–,,
