Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,PIRATEN,AfD
Infratest,RBB. Märkische,T- 1.000,03.12.2009,,25%,31%,7%,7%,23%,–,–
Landtagswahl am 27.09.2009,,,,,19.80%,33.00%,5.70%,7.20%,27.20%,,
Forschungs-,ZDF,T- 1.000,18.09.2009,,22%,32%,5%,7%,27%,,
Infratest,ARD,T- 1.000,16.09.2009,,21%,34%,4%,7%,28%,,
Infratest,RBB. Märkische,T- 1.001,09.09.2009,,22%,31%,4%,8%,28%,,
Infratest,RBB. Märkische,T- 1.000,12.05.2009,,22%,34%,5%,6%,27%,,
GESS,Centrum für,T- 1.003,03.04.2009,,21%,34%,5%,7%,25%,,
Infratest,SPD-,T- 1.000,05.03.2009,,22%,35%,5%,6%,26%,,
Emnid,DIE LINKE-,T- 1.001,12.02.2009,,21%,36%,5%,7%,26%,,
Infratest,RBB. Märkische,T- 1.000,17.09.2008,,20%,36%,4%,6%,27%,,
Forsa,n-tv,T- 1.084,17.04.2008,,21%,30%,5%,5%,30%,,
Infratest,RBB. Märkische,T- 1.000,08.04.2008,,21%,35%,5%,5%,30%,,
Emnid,Bild am,T- ~500,02.03.2008,,22%,38%,4%,4%,26%,,
Infratest,SPD-LV (?),T- 1.000,23.02.2008,,21%,40%,4%,5%,26%,,
Emnid,DIE LINKE-,T- 1.002,14.01.2008,,21%,37%,4%,5%,26%,,
Infratest,RBB. Märkische,T- 1.000,31.10.2007,,23%,40%,4%,4%,24%,,
Infratest,SPD-LT-Fraktion,T- 1.000,28.03.2007,,19%,39%,4%,6%,26%,,
Infratest,RBB. Märkische,T- 1.000,14.03.2007,,21%,39%,4%,5%,25%,,
Infratest,RBB. Märkische,T- 1.000,22.11.2006,,21%,40%,3%,6%,23%,,
Infratest,RBB. Märkische,T- 1.000,01.06.2006,,23%,39%,3%,5%,24%,,
Forsa,SPD-LT-Fraktion,T- ~1.000,07.04.2006,,18%,37%,4%,4%,25%,,
Infratest,SPD,752,09.12.2005,,21%,39%,4%,4%,27%,,
Infratest,Infratest,T- 1.000,22.08.2005,,22%,36%,4%,4%,31%,,
Infratest,RBB. Märkische,T- 1.000,08.06.2005,,29%,34%,5%,4%,23%,,
Landtagswahl am 19.09.2004,,,,,19.40%,31.90%,3.60%,3.30%,28.00%,,
Forschungs-,ZDF,T- 1.034,10.09.2004,,23%,29%,6%,5%,27%,,
Infratest,Märkische,T- 1.000,09.09.2004,,24%,27%,5%,4%,31%,,
Forsa,Stern,T- 1.003,07.09.2004,,23%,28%,4%,2%,35%,,
Emnid,Berliner,T- 751,04.09.2004,,25%,29%,5%,4%,31%,,
Infratest,SPD,T- 1.000,01.09.2004,,22%,28%,5.50%,4%,34%,,
Forsa,Stern,T- 1.009,24.08.2004,,22%,27%,4%,3%,36%,,
Infratest,Märkische,T- 1.000,11.08.2004,,26%,28%,5%,4%,29%,,
Forsa,SPD,T- 1.001,09.08.2004,,27%,32%,3%,3%,30%,,
Usuma,CDU,T- 1.007,29.07.2004,,36%,31%,5%,4%,22%,,
Forsa,SPD,T- 1.000,03.06.2004,,30%,33%,6%,3%,22%,,
Infratest,Märkische,T- 1.001,25.03.2004,,34%,30%,5%,5%,20%,,
Infratest,Märkische,T- 1.000,22.10.2003,,32%,34%,4%,6%,19%,,
Infratest,RBB,T- 1.000,20.06.2003,,34%,34%,6%,5%,17%,,
Infratest,ORB,T- 1.000,12.03.2003,,35%,36%,4%,5%,17%,,
dimap,BZ am Sonntag,T- ?,15.12.2002,,36%,34%,4%,2%,20%,,
Infratest,ORB,T- 1.000,05.09.2002,,23%,46%,3%,6%,20%,,
Infratest,ORB,T- 1.000,05.07.2002,,29%,40%,2%,6%,21%,,
Infratest,ORB,T- 1.000,05.05.2002,,30%,35%,2%,5%,24%,,
Forsa,Berliner,T- 1.014,28.03.2002,,28%,37%,3%,3%,24%,,
Infratest,ORB,T- 1.000,1?.10.2001,,26%,44%,2%,3%,21%,,
Infratest,Infratest,T- ?,?,,25%,45%,2%,3%,21%,,
Infratest,ORB,T- 1.000,06.09.2000,,25%,44%,3%,3%,21%,,
Infratest,Infratest,T- 1.000,06.09.2000,,26%,42%,3%,1%,23%,,
Landtagswahl am 05.09.1999,,,,,26.60%,39.30%,1.90%,1.90%,23.30%,,
Infratest,ORB. Märkische,T- 1.000,27.08.1999,,23%,44%,2%,1%,23%,,
dimap,CDU,T- 1.014,18.08.1999,,27%,42%,3%,3%,20%,,
Forsa,SPD,T- 1.002,12.08.1999,,23%,44%,2%,2%,23%,,
Infratest,ORB. Märkische,T- 1.000,09.07.1999,,29%,42%,3%,1%,20%,,
dimap,CDU,T- 1.021,26.06.1999,,27%,40%,3%,2%,21%,,
Infratest,Berliner,T- 1.000,29.05.1999,,25%,50%,3%,1%,18%,,
Infratest,ORB,T- 1.000,26.03.1999,,23%,51%,3%,2%,18%,,
Infratest,ORB,T- 1.000,04.12.1998,,18%,55%,4%,3%,18%,,
Infratest,ORB,T- 1.000,07.04.1998,,15%,58%,4%,2%,17%,,
Landtagswahl am 11.09.1994,,,,,18.70%,54.10%,2.90%,2.20%,18.70%,,
