Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,,
uniQma,Leipziger,T- 703,07.09.2018,,28.90%,11.40%,6.80%,5.60%,18.60%,23.90%,,
INSA,BILD,TOM- 1.040,31.08.2018,,28%,11%,7%,7%,18%,25%,,
Infratest,MDR,T- 1.000,28.08.2018,,30%,11%,6%,5%,18%,25%,,
INSA,BILD,TOM- 1.009,12.06.2018,,32%,9%,6%,6%,19%,24%,,
IM Field,Sächsische,T- 1.000,07.12.2017,,33%,12%,4%,7%,18%,23%,,
IM Field,Sächsische,T- 1.005,31.10.2017,,31%,14%,4%,7%,17%,21%,,
Infratest,MDR,T- 1.000,22.06.2017,,41%,10%,4%,5%,15%,21%,,
Infratest,MDR,T- 1.002,22.11.2016,,34%,12%,7%,–,16%,25%,,
INSA,BILD,T- 1.003,05.10.2016,,37.50%,13%,6%,2%,16%,21.50%,,
Infratest,MDR,T- 1.001,16.09.2015,,38%,13%,7%,3%,17%,13%,,
Landtagswahl am 31.08.2014,,,,,39.40%,12.40%,5.70%,3.80%,18.90%,1.10%,,
Forschungs-,ZDF,T- 1.013,28.08.2014,,40.50%,15%,5.50%,3%,19%,7%,,
Infratest,ARD,T- 1.002,21.08.2014,,40%,14%,6.50%,3.50%,19%,7%,,
Forschungs-,ZDF,T- 1.072,21.08.2014,,39%,15%,6%,3%,20%,7%,,
uniQma,Leipziger,T- 800,18.08.2014,,42%,13%,6%,3%,18%,6%,,
IM Field,Sächsische,T- 1.003,09.08.2014,,43%,14%,7%,3%,20%,5%,,
INSA,BILD,T- 500,08.08.2014,,40%,14%,6%,5%,19%,6%,,
Infratest,MDR,T- 1.000,10.07.2014,,42%,13%,7%,4%,21%,7%,,
Forsa,SPD-LV,T- 1.002,20.06.2014,,42%,15%,6%,3%,18%,8%,,
uniQma,Leipziger,T- 800,13.06.2014,,45%,13%,6%,3%,16%,7%,,
Infratest,MDR,T- 1.000,30.04.2014,,43%,16%,6%,4%,18%,6%,,
dimap,FDP-LT-,T- 2.001,29.03.2014,,45%,15%,6%,4%,17%,6%,,
INSA,Sächsische,T- 1.003,08.03.2014,,43%,15%,5%,2%,22%,7%,,
uniQma,Leipziger,T- 800,02.01.2014,,49%,17%,6%,2%,15%,6%,,
Infratest,MDR,T- 1.000,20.08.2013,,45%,14%,11%,5%,14%,–,,
Emnid,Sächsische,F- 1.025,09.04.2013,,43%,16%,7%,5%,19%,–,,
Infratest,SPD-LT-,T- 1.000,08.09.2012,,41%,16%,7%,4%,19%,–,,
dimap,FDP-LT-,T- 2.002,05.09.2012,,44%,16%,8%,5%,15%,–,,
Emnid,Sächsische,F- 1.040,15.03.2012,,43%,14%,10%,2%,18%,–,,
IfM,Leipziger,T- 1.001,16.10.2011,,44%,12%,11%,2%,17%,–,,
dimap,FDP-LT-,T- 2.003,24.08.2011,,43%,12%,11%,6%,19%,–,,
aproxima,Sächsische,F- 1.000,28.06.2011,,42%,15%,8%,6%,21%,–,,
aproxima,Sächsische,F- 1.000,24.08.2010,,42%,16%,7%,5%,23%,–,,
IfM,SZ. LVZ.,T- 802,14.06.2010,,40%,16%,12%,6%,20%,–,,
Landtagswahl am 30.08.2009,,,,,40.20%,10.40%,6.40%,10.00%,20.60%,5.60%,,
IfM,MDR. Leipziger,1.000,22.08.2009,,41%,14%,6%,10%,20%,5%,,
Forschungs-,ZDF,1.000,21.08.2009,,42%,11%,6%,11%,20%,6%,,
Infratest,ARD,1.000,20.08.2009,,38%,13%,6%,11.50%,21%,4.50%,,
Infratest,MDR. Sächsische,1.000,12.08.2009,,39%,15%,6%,12%,19%,5%,,
IfM,MDR. Leipziger,1.000,16.07.2009,,42%,14%,7%,11%,17%,5%,,
Infratest,MDR,1.000,25.06.2009,,40%,13%,6%,12%,20%,5%,,
Infratest,MDR,1.000,14.05.2009,,40%,15%,7%,10%,19%,5%,,
dimap,FDP-LT-,2.004,05.05.2009,,42%,13%,6%,11%,18%,5%,,
IfM,MDR. Leipziger,1.000,21.04.2009,,43%,18%,6%,9%,17%,4%,,
IfM,SPD-LT-,1.007,24.03.2009,,42%,18%,6%,9%,17%,5%,,
aproxima,Sächsische,1.011,24.03.2009,,49%,15%,5%,5%,21%,4%,,
dimap,FDP-LT-,2.000,02.12.2008,,42%,18%,6%,9%,20%,3%,,
IfM,SPD-LT-,1.003,14.11.2008,,39%,16%,6%,9%,19%,6%,,
aproxima *,Sächsische,1.011,07.10.2008,,42.00%,19.50%,7.00%,6.80%,21.00%,2.80%,,
Infratest,MDR,1.000,28.05.2008,,35%,16%,4%,9%,29%,3%,,
IfM,Leipziger,1.003,21.05.2008,,44%,20%,5%,5%,20%,5%,,
Emnid,DIE LINKE-,1.000,17.03.2008,,40%,16%,5%,7%,23%,4%,,
Emnid,Bild am,~500,02.03.2008,,41%,16%,5%,7%,22%,4%,,
Emnid,Sächsische,750,29.01.2008,,41%,15%,5%,7%,21%,5%,,
aproxima *,Sächsische,1.016,18.12.2007,,40%,20%,7%,7%,20%,4%,,
dimap,FDP-LT-,996,26.11.2007,,39%,16%,6%,8%,22%,5%,,
Infratest,MDR,1.000,12.09.2007,,40%,12%,5%,7%,25%,6%,,
Forsa,n-tv,1.130,06.09.2007,,39%,8%,5%,7%,27%,9%,,
IfM,Leipziger,1.008,30.08.2007,,38%,11%,5%,7%,28%,6%,,
IfM,Sächsische,800,22.08.2007,,37%,10%,6%,6%,29%,–,,
IfM,SPD-,1.012,20.07.2007,,40%,15%,6%,7%,24%,6%,,
Forsa,n-tv,,12.07.2007,,41%,8%,6%,6%,26%,8%,,
IfM,SPD-,>1.000,28.03.2007,,41%,18%,6%,6%,21%,5%,,
IfM,Sächsische,805,27.12.2006,,42%,13%,5%,7%,23%,–,,
dimap,FDP,2.007,24.11.2006,,37%,14%,7%,9%,22%,7%,,
IfM,Sächsische,803,24.08.2006,,45%,13%,5%,9%,23%,–,,
Emnid,Sächsische,1.056,18.07.2006,,43%,11%,4%,7%,25%,6%,,
Emnid,Sächsische,1.000,14.02.2006,,47%,12%,5%,5%,22%,5%,,
IfM,Sächsische,835,27.12.2005,,43%,15%,5%,6%,25%,4%,,
Emnid,Sächsische,1.003,11.10.2005,,42%,13%,4%,5%,28%,5%,,
IfM,SPD,1.018,12.07.2005,,45%,12%,6%,7%,22%,4%,,
Emnid,Sächsische,1.053,21.02.2005,,42%,12%,4%,5%,22%,9%,,
Landtagswahl am 19.09.2004,,,,,41.10%,9.80%,5.10%,5.90%,23.60%,9.20%,,
IfM,Leipziger,803,10.09.2004,,44%,14%,7%,6%,19%,7%,,
Forsch’gr.,ZDF,1.035,10.09.2004,,47%,11%,6%,4%,19%,9%,,
Infratest,MDR,1.000,08.09.2004,,44%,12%,6%,5%,23%,7%,,
Forsa,Stern,1.002,07.09.2004,,46%,12%,6%,4%,24%,4%,,
IfM,Leipziger,1.006,31.08.2004,,46%,12%,7%,5%,21%,3%,,
Forsa,Stern,1.007,24.08.2004,,48%,11%,5%,4%,24%,4%,,
IfM,Sächsische,KW 34,21.08.2004,,48%,10%,6%,5%,22%,3.50%,,
IfM,Leipziger,810,15.08.2004,,45%,10%,6%,6%,25%,2%,,
Infratest,MDR,1.000,05.08.2004,,44%,12%,6%,4.50%,25%,–,,
IfM,Leipziger,808,30.07.2004,,48%,12%,5%,4%,27%,–,,
Emnid,Sächsische,1.078,26.07.2004,,50%,10%,5%,4%,23%,–,,
IfM,Leipziger,808,17.07.2004,,54%,13%,5%,3%,21%,–,,
IfM,Sächsische,825,19.05.2004,,55%,17%,5%,3%,18%,–,,
IfM,SPD Sachsen,1.042,09.05.2004,,56%,17%,5%,3%,17%,–,,
Emnid,Sächsische,1.100,20.01.2004,,57%,12%,2%,2%,22%,–,,
IfM,Sächsische,814,30.12.2003,,59%,13%,4%,4%,18%,–,,
Emnid,Sächsische,1.010,19.08.2003,,53%,14%,4%,2%,22%,–,,
Emnid,Sächsische,1.056,16.01.2003,,57%,13%,3%,2%,21%,–,,
IfM,Sächsische,800,30.12.2002,,57%,13%,4%,1%,20%,–,,
IfM,Sächsische,,07.03.2002,,52%,19%,2%,4%,21%,–,,
Emnid,Sächsische,1.009,14.01.2002,,43%,18%,3%,5%,25%,–,,
Emnid,Sächsische,1.023,03.08.2001,,46%,22%,2%,4%,20%,–,,
Emnid,Sächsische,1.083,24.01.2001,,47%,22%,3%,3%,20%,–,,
Emnid,Sächsische,Juli,25.08.2000,,49%,20%,2%,3%,21%,–,,
Landtagswahl am 19.09.1999,,,,,56.90%,10.70%,2.60%,1.10%,22.20%,–,,
Infratest,MDR,,08.09.1999,,57%,16%,3%,1%,18%,–,,
Emnid,Sächsische,1.132,30.09.1999,,53%,18%,3%,2%,19%,–,,
Infratest,oldie.fm,≈ 900,18.08.1999,,57%,20%,2%,1%,17%,–,,
Infratest,MDR,,12.08.1999,,54%,16%,3%,2%,20%,–,,
Emnid,Sächsische,1.028,03.06.1999,,49%,21%,4%,2%,19%,–,,
Infratest,oldie.fm,≈ 900,27.05.1999,,52%,17%,3%,2%,22%,–,,
Infratest,oldie.fm,≈ 900,15.04.1999,,51%,24%,4%,1%,18%,–,,
Emnid,Sächsische,Dez.,13.01.1999,,43%,26%,4%,2%,19%,–,,
Emnid,Sächsische,Nov.,1997,,44%,22%,8%,2%,19%,–,,
Emnid,Sächsische,Nov.,1996,,49%,19%,8%,1%,18%,–,,
Emnid,Sächsische,März,1996,,53%,14%,7%,1%,19%,–,,
Emnid,Sächsische,Juni,1995,,50%,16%,6%,4%,19%,–,,
Emnid,Sächsische,Jan.,1995,,55%,18%,4%,1%,19%,–,,
Landtagswahl am 11.09.1994,,,,,58.10%,16.60%,4.10%,1.70%,16.50%,–,,
Emnid,Sächsische,Aug.,1994,,43%,23%,8%,4%,16%,–,,
Emnid,Sächsische,März,1994,,39%,28%,12%,5%,11%,–,,
Emnid,Sächsische,Okt.,1993,,39%,28%,12%,5%,11%,–,,
Emnid,Sächsische,Juli,1991,,37%,41%,6%,?,7%,–,,
Landtagswahl am 14.10.1990,,,,,53.80%,19.10%,5.60%,5.30%,10.20%,–,,
