Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
Forsa,Die Welt,T,19.04.2000,,38%,46%,6%,6%,–,
Infratest,dpa,T,12.04.2000,,33%,46%,7%,8%,–,
Forschungs-,ZDF. NRZ,T- 1.004,08.04.2000,,38%,46%,6%,6%,–,
Infratest,WDR,T,05.03.2000,,32%,47%,7%,9%,–,
Infratest,WDR,T,16.01.2000,,37%,45%,7%,6%,–,
Forsa,Die Woche,T,09.12.1999,,46%,39%,7%,4%,–,
Emnid,Frankfurter,T,06.09.1999,,43%,42%,6%,4%,–,
Forsa,Die Welt,T,03.06.1999,,41%,44%,6%,4%,–,
Psephos,AP,T,23.03.1999,,40%,44%,8%,5%,–,
Psephos,Kölnische,T,03.09.1998,,34%,51%,8%,4%,–,
Psephos,WDR,T,28.05.1998,,33%,50%,9%,4%,–,
Landtagswahl am 14.05.1995,,,,,37.70%,46.00%,10.00%,4.00%,–,
