Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD
Landtagswahl am 02.02.2003,,,,,48.80%,29.10%,10.10%,7.90%,–,
Forsa,RTL,,31.01.2003,,49%,29%,11%,8%,–,
Forsa,Stern,1.012,29.01.2003,,51%,29%,10%,7%,–,
Forsa,Stern,1.078,22.01.2003,,50%,31%,10%,5%,–,
Infratest,Hessischer,1.000,19.01.2003,,48%,31%,11%,7%,–,
Forschungsgruppe,ZDF,1.036,17.01.2003,,48%,32%,10%,7%,–,
Forsa,Stern,1.003,15.01.2003,,48%,33%,10%,5%,–,
Infratest,Hessischer,1.000,09.01.2003,,47%,33%,10%,5%,–,
Forsa,Stern,1.120,07.01.2003,,47%,32%,12%,5%,–,
Infratest,Hessischer,1.000,06.12.2002,,49%,32%,11%,5%,–,
dimap,CDU LV,,13.05.2002,,45%,35%,6%,9%,–,
Forsa,Stern,,18.01.2001,,40%,39%,8%,7%,–,
Infratest,Hessischer,1.000,04.02.2000,,35%,44%,9%,7%,–,
Ipos,FAZ,1.004,24.01.2000,,33%,46%,11%,5%,–,
Landtagswahl am 07.02.1999,,,,,43.40%,39.40%,7.20%,5.10%,–,
Forschungsgruppe,ZDF. FAZ.,1.025,29.01.1999,,39%,42%,8.50%,5.50%,–,
Polis,FOCUS,1.016,30.01.1999,,36%,41%,10%,8%,–,
Infratest,Hessischer,1.000,28.01.1999,,37.50%,42%,10%,7%,–,
Forsa,Die Woche,,20.01.1999,,36%,40%,11%,7%,–,
Forsa,Die Woche,,14.01.1999,,37%,38%,12%,7%,–,
Infratest,Hessischer,1.000,14.01.1999,,39%,42%,9%,6%,–,
Forschungsgruppe,ZDF. FAZ.,1.011,04.12.1998,,37%,45%,9%,4%,–,
Forschungsgruppe,ZDF. FAZ.,1.021,06.11.1998,,38%,43%,10%,4%,–,
Landtagswahl am 19.02.1995,,,,,39.20%,38.00%,11.20%,7.40%,,
Ipos,FAZ. FFH,1.059,15.02.1995,,40%,41%,12%,5%,–,
BasisResearch,Focus,1.008,12.02.1995,,40%,40%,10%,7%,–,
Allensbach,?,??.01.–??.02.,10.02.1995,,40.50%,39%,10%,7.50%,–,
Ipos,FAZ. FFH,1.061,30.01.1995,,41.40%,39.80%,12.40%,3.60%,–,
Landtagswahl am 20.01.1991,,,,,40.20%,40.80%,8.80%,7.40%,,
