Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,
Landtagswahl am 04.09.2011 (inkl. Rügen),,,,,23.00%,35.60%,8.70%,2.80%,18.40%,
Forschungs-,ZDF,1.349,26.08.2011,,28%,35%,8%,4%,16.50%,
Infratest,ARD,1.000,25.08.2011,,26%,36%,8%,4.50%,17%,
Forsa,Ostsee-,602,24.08.2011,,27%,34%,7%,5%,17%,
Infratest,NDR,1.000,19.08.2011,,28.00%,37.00%,7.00%,3.50%,17.50%,
Emnid,SVZ.,1.000,14.08.2011,,28%,34%,7%,4%,19%,
Emnid,Focus,1.007,07.08.2011,,29%,34%,7%,3%,19%,
Infratest,NDR,1.001,04.08.2011,,30%,34%,8%,3%,18%,
Infratest,NDR,1.000,29.06.2011,,30%,34%,8%,4%,17%,
Infratest,NDR,1.001,13.04.2011,,27%,34%,10%,3%,20%,
Emnid,SVZ.,1.000,03.03.2011,,29%,34%,6%,5%,17%,
Forsa,Ostsee-,601,21.01.2011,,29%,32%,8%,6%,15%,
Infratest,NDR,1.000,15.05.2009,,32%,25%,5%,10%,22%,
polis+sinus,Staatskanzlei,1.205,13.01.2009,,30%,27%,3%,11%,23%,
Infratest,SPD-,1.000,17.10.2007,,32%,34%,3%,7%,17%,
Forsa,n-tv,1.009,20.09.2007,,31%,28%,3%,9%,18%,
Landtagswahl am 17.09.2006,,,,,28.80%,30.20%,3.40%,9.60%,16.80%,
Forschungs-,ZDF,1.116,08.09.2006,,33%,29%,4%,7%,18%,
Emnid,Schweriner,500,08.09.2006,,31%,29%,3%,7%,21%,
Infratest,NDR,1.000,07.09.2006,,30%,31%,4%,7%,20%,
Infratest,NDR,1.000,01.09.2006,,31%,30%,4%,6%,21%,
Emnid,Schweriner,500,25.08.2006,,31%,28%,3%,7%,23%,
Infratest,NDR,1.000,25.08.2006,,30%,31%,3%,6%,23%,
Forsa,Ostsee-,1.003,23.08.2006,,30%,28%,4%,7%,24%,
Emnid,Schweriner,500,12.08.2006,,31%,29%,4%,7%,22%,
Infratest,ARD,1.000,03.08.2006,,33%,29%,4%,6%,22%,
Emnid,FDP MV,1.001,24.07.2006,,33%,31%,4%,7%,21%,
Infratest,NDR,1.000,12.07.2006,,32%,31%,4%,7%,21%,
Emnid,CDU MV,1.009,12.06.2006,,31%,30%,4%,7%,23%,
Infratest,Friedrich-Ebert-,1.000,22.02.2006,,29%,34%,4%,5%,24%,
Emnid,Schweriner,500,10.09.2005,,35%,26%,4%,5%,25%,
Emnid,Schweriner,500,29.08.2005,,32%,22%,5%,6%,31%,
Emnid,Schweriner,500,15.08.2005,,31%,20%,6%,6%,34%,
Emnid,Schweriner,750,25.09.2004,,31%,28%,7%,5%,21%,
Infratest,Infratest,1.003,??.06.2004,,44%,29%,5%,5%,15%,
Emnid,Schweriner,752,08.05.2004,,39%,28%,7%,6%,17%,
Emnid,Schweriner,750,07.11.2003,,41%,26%,6%,5%,19%,
Emnid,Schweriner,750,21.06.2003,,37%,35%,5%,5%,14%,
Emnid,Schweriner,,01.03.2003,,40%,33%,4%,5%,14%,
Landtagswahl am 22.09.2002,,,,,31.40%,40.60%,2.60%,4.70%,16.40%,
Emnid,Antenne,,16.09.2002,,33%,37%,3%,3%,19%,
Infratest,NDR,1.000,12.09.2002,,33%,40%,2%,4%,17%,
Emnid,Antenne,,09.09.2002,,34%,37%,3%,4%,18%,
Infratest,NDR,,04.09.2002,,35%,37%,2%,4.50%,18.50%,
Emnid,Antenne,750,02.09.2002,,36%,37%,3%,3%,17%,
Forschungs-,ZDF,1.000,01.09.2002,,33%,38%,4%,4%,18%,
Infratest,NDR,1.000,28.08.2002,,33%,36%,2%,4%,20%,
Emnid,Antenne,,26.08.2002,,38%,35%,3%,4%,15%,
Emnid,Antenne,,19.08.2002,,38%,32%,3%,5%,18%,
Emnid,Schweriner,,12.08.2002,,39%,33%,3%,5%,18%,
Emnid,Schweriner,750,02.08.2002,,39%,32%,3%,5%,19%,
Infratest,NDR,,03.07.2002,,36%,35%,1%,5%,20%,
Emnid,Schweriner,,22.06.2002,,38%,30%,3%,7%,18%,
Emnid,CDU,,23.05.2002,,41%,30%,1%,4%,19%,
Emnid,Schweriner,,29.01.2002,,39%,32%,1%,3%,17%,
Infratest,NDR,,24.01.2002,,37%,29%,2%,3%,23%,
Emnid,Schweriner,,03.11.2001,,32%,32%,3%,4%,24%,
Emnid,Schweriner,,16.05.2001,,35%,32%,3%,5%,21%,
Infratest,Ostsee-,1.000,30.09.2000,,36%,32%,,,24%,
Emnid,Schweriner,750,25.09.1999,,42%,26%,,,24%,
Infratest,Ostsee-,912,26.02.1999,,37%,38%,–,–,17%,
Landtagswahl am 27.09.1998,,,,,30.20%,34.30%,2.70%,1.60%,24.40%,
Infratest,NDR. Ostsee-,1.000,??.09.1998,,30%,38%,3%,2%,22%,
Infratest,Ostsee-,,26.08.1998,,28%,41%,4%,2%,20%,
Emnid,Schweriner,,08.08.1998,,28%,39%,4%,2%,20%,
Infratest,NDR,,21.07.1998,,26%,39%,4%,2%,23%,
Infratest,Ostsee-,904,08.04.1998,,28%,43%,5%,2%,19%,
Emnid,Schweriner,,20.03.1998,,39%,20%,,,5%,
Landtagswahl am 16.10.1994,,,,,37.70%,29.50%,3.70%,3.80%,22.70%,
Infas,NDR,,??.09.1994,,33%,33%,4.50%,2.50%,21%,
Emnid,DER SPIEGEL,??.02.–??.02.,20.02.1994,,17%,36%,10%,10%,17%,
