Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,AfD,
Psephos,Hamburger,T- 1.003,13.06.2011,,20%,47%,14%,7%,7%,–,
Bürgerschaftswahl am 20.02.2011,,,,,21.90%,48.40%,11.20%,6.70%,6.40%,,
Bürgerschaftswahl am 20.02.2011,,,,,21.90%,48.40%,11.20%,6.70%,6.40%,,
GMS,Sat.1,T- 1.002,17.02.2011,,25%,43%,15%,5%,6%,,
Emnid,Focus,T- 1.002,13.02.2011,,24%,45%,15%,5%,6%,,
Forschungs-,ZDF,T- 1.686,11.02.2011,,23%,46%,14.50%,5%,6%,,
Infratest,ARD,T- 1.004,10.02.2011,,23.50%,45%,14%,5%,5.50%,,
Infratest,NDR,T- 1.000,03.02.2011,,25%,46%,14%,5%,6%,,
Trend Research,Radio Hamburg.,O- 627,01.02.2011,,25%,45%,16%,4%,6%,,
Infratest,NDR,T- 1.000,13.01.2011,,26%,43%,17%,4%,5%,,
Trend Research,Radio Hamburg.,O- 648,15.12.2010,,24%,45%,16%,3%,8%,,
Infratest,NDR,T- 1.000,13.12.2010,,22%,43%,19%,4%,7%,,
Trend Research,Radio Hamburg.,O- 678,08.12.2010,,22%,45%,17%,3%,7%,,
Trend Research,Radio Hamburg.,O- 653,02.12.2010,,24%,44%,17%,4%,7%,,
Psephos,Hamburger,T- 1.002,01.12.2010,,28%,45%,14%,3%,6%,,
Forschungs-,ZDF,T- 1.006,01.12.2010,,22%,41%,21%,4%,7%,,
Psephos,Sat.1. BILD.,T- 1.004,12.11.2010,,35%,40%,12%,4%,6%,,
Trend Research,Radio Hamburg.,O- 612,20.10.2010,,25%,35%,17%,4%,11%,,
Psephos,Hamburger,T- 1.005,21.07.2010,,35%,41%,10%,4%,6%,,
Psephos,Sat.1. BILD.,T- 1.007,08.07.2010,,36%,39%,11%,5%,6%,,
Psephos,Hamburger,T- 1.004,26.04.2010,,34%,37%,10%,8%,8%,,
Infratest,NDR,T- 1.000,22.02.2010,,31%,31%,16%,7%,10%,,
Psephos,Hamburger,T- 1.001,20.12.2009,,38%,34%,11%,6%,8%,,
Psephos,Hamburg 1.,T- 1.004,02.12.2009,,36%,33%,13%,8%,8%,,
Infratest,NDR,T- 1.000,26.02.2009,,36%,33%,12%,9%,8%,,
Psephos,Hamburger,T- 1.003,28.11.2008,,44%,31%,11%,5%,6%,,
Psephos,NDR. Hamburger,T- 1.004,06.05.2008,,43%,34%,10%,4.50%,7%,,
Bürgerschaftswahl am 24.02.2008,,,,,42.60%,34.10%,9.60%,4.80%,6.40%,,
GMS,Sat.1,T- 1.002,21.02.2008,,40%,35%,9%,4%,8%,,
election.de,RTL,T- 1.010,20.02.2008,,41%,35%,10%,4%,6%,,
Psephos,Hamburger,T- 1.006,18.02.2008,,42%,34%,9%,5%,7%,,
Infratest,NDR,T- 1.000,17.02.2008,,39%,35%,9%,5%,9%,,
Emnid,Quelle:,T- 1.000,16.02.2008,,42%,32%,11%,5%,7%,,
Forschungs-,ZDF,T- 1.018,15.02.2008,,41%,34%,10%,5%,7%,,
Infratest,NDR,T- 1.000,14.02.2008,,39%,35%,10%,5%,8%,,
Infratest,NDR,T- 1.000,01.02.2008,,41%,33%,10%,5%,7%,,
Psephos,Hamburger,T- 1.003,24.01.2008,,42%,36%,10%,3.50%,5%,,
election.de,Hamburger,T- 750,23.01.2008,,37%,38%,13%,5%,6%,,
Infratest,NDR,T- 1.000,07.01.2008,,40%,35%,11%,4%,6%,,
Emnid,Bild am,T- 600,05.01.2008,,42%,31%,13%,5%,7%,,
AMR,Der Spiegel,T- 1.000,29.12.2007,,42%,33%,12%,4%,7%,,
Infratest,NDR,T- 1.000,14.12.2007,,41%,34%,12%,3%,7%,,
TNS Infratest,SPD-Landes-,T- 1.216,11.12.2007,,40%,33%,13%,3%,7%,,
Psephos,Hamburger,T- 1.007,08.12.2007,,44%,33%,12%,3%,5%,,
Emnid,Emnid,T- 603,08.12.2007,,41%,31%,12%,5%,8%,,
Infratest,ARD,T- 1.000,06.09.2007,,42%,32%,13%,4%,7%,,
TNS Infratest,Cicero,T- 1.001,28.08.2007,,42%,33%,13%,3%,6%,,
Psephos,NDR. Hamburger,T- 1.005,06.07.2007,,45%,30%,14%,3%,5%,,
Forsa,Stern,T- 1.001,23.05.2007,,41%,29%,16%,4%,6%,,
Emnid,Bild,T- 1.000,19.03.2007,,44%,32%,12%,5%,4%,,
Psephos,Hamburg 1.,958,28.02.2007,,45%,31%,14%,3%,3%,,
Emnid,Die Welt,T- 1.000,12.02.2007,,43%,32%,13%,3%,4%,,
Psephos,NDR. Hamburger,T- 1.002,05.01.2007,,44%,33%,13%,3%,4%,,
Infratest,Hamburger,T- 1.000,26.10.2006,,35%,36%,14%,6%,4%,,
Forsa,n-tv,T- 1.001,10.08.2006,,44%,27%,14%,5%,5%,,
Psephos,Hamburger,T- 1.004,05.05.2006,,45%,33%,12%,2%,2.50%,,
Psephos,Hamburger,T- 1.005,17.02.2006,,47%,32%,12%,3%,3%,,
Emnid,Die Welt,T- 1.000,13.02.2006,,46%,33%,13%,3%,3%,,
Psephos,Hamburger,T- 721,09.01.2006,,46%,31%,13%,3%,4%,,
Psephos,Hamburger,T- 1.011,10.09.2005,,49%,30%,12%,3%,3%,,
Emnid,Die Welt. BILD.,T- 1.000,06.08.2005,,48%,28%,14%,2%,5%,,
Psephos,Hamburger,T- 1.002,27.04.2005,,46%,29%,14%,4%,–,,
Psephos,Hamburger,T- 1.005,25.02.2005,,48%,29%,14%,3%,–,,
Psephos,Hamburger,T- 1.001,26.10.2004,,48%,28%,14%,4%,–,,
Emnid,BILD,"T,",12.08.2004,,48%,25%,17%,3%,–,,
Psephos,Hamburger,T- 1.007,25.06.2004,,50%,25%,16%,4%,–,,
Bürgerschaftswahl am 29.02.2004,,,,,47.20%,30.50%,12.30%,2.80%,,,
Psephos,Hamburger,T- 1.007,25.06.2004,,50%,25%,16%,4%,,,
Bürgerschaftswahl am 29.02.2004,,,,,47.20%,30.50%,12.30%,2.80%,0.40%,,
Forsa,Stern,T- 1.009,27.02.2004,,44%,30%,14%,4%,,,
Emnid,Die Welt,T- 1.000,25.02.2004,,46%,30%,13%,3%,,,
Forsa,Hamburger,T- 1.005,25.02.2004,,45%,29%,14%,4%,,,
Psephos,Hamburger,T- 1.003,24.02.2004,,46%,30%,12%,3.50%,,,
Forschungs-,ZDF,T- 1.008,20.02.2004,,47%,29%,13%,4%,,,
Infratest,NDR,T- 1.000,18.02.2004,,45%,29%,14%,4%,,,
Forsa,Stern,T- 1.002,17.02.2004,,45%,30%,14%,4%,,,
Forsa,Stern,804,10.02.2004,,46%,29%,14%,4%,,,
Infratest,NDR,T- 1.000,04.02.2004,,45%,30%,15%,3%,,,
Forsa,Stern,1001,03.02.2004,,48%,28%,13%,4%,,,
Emnid,Die Welt,T- 1.000,02.02.2004,,46%,31%,12%,4%,,,
Infratest,NDR,T- 1.000,14.01.2004,,45%,30%,13%,4%,,,
Psephos,Hamburger,T- 1.002,09.01.2004,,47%,30%,11%,2%,,,
Forsa,Stern,T,17.12.2003,,46%,31%,13%,4%,,,
Infratest,Der Spiegel,T- 1.000,15.12.2003,,43%,33%,12%,4%,,,
Emnid,Die Welt,T- 1.000,12.12.2003,,43%,37%,12%,4%,,,
Psephos,Hamburger,808,11.12.2003,,41%,36%,11%,3%,,,
Infratest,NDR,T- 1.000,09.12.2003,,40%,35%,13%,4%,,,
Emnid,Die Welt,T- 1.000,05.12.2003,,41%,35%,13%,3%,,,
Psephos,Hamburger,T,10.10.2003,,39%,37%,10%,4%,,,
Infratest,NDR,T- 1.000,11.09.2003,,39%,36%,13%,4%,,,
NFO Infratest,DER SPIEGEL,T- ≈ 1.000,23.08.2003,,40%,37%,11%,4%,,,
Psephos,Hamburger,T- 731,23.08.2003,,40%,36%,10%,5%,,,
Emnid,Die Welt,T- 1.002,21.08.2003,,38%,35%,13%,5%,,,
Emnid,Die Welt,T- 1.000,09.02.2003,,42%,26%,13%,5%,,,
Psephos,NDR. Hamburger,T- 1.003,25.10.2002,,34%,36%,13%,5%,,,
Emnid,Die Welt,T- 1.008,09.09.2002,,32%,40%,11%,4%,,,
Emnid,BILD,T,07.02.2002,,32%,37%,9%,6%,,,
Psephos,NDR. Hamburger,T- 1.003,02.02.2002,,32%,36%,9%,5%,,,
Forsa,Die Welt,T- 1.001,25.01.2002,,31%,35%,10%,4%,,,
Bürgerschaftswahl am 23.09.2001,,,,,26.20%,36.50%,8.60%,5.10%,19.40%,,
Forsa,Die Welt.,T- 1.041,20.09.2001,,28%,36%,11%,5%,,,
Infratest,NDR. Hamburger,T- ?,13.09.2001,,28%,35%,9%,5%,,,
Emnid,BILD,T,12.09.2001,,30%,34%,10%,6%,,,
Forschungs-,Süddeutsche,T,08.09.2001,,27%,36%,12%,7%,,,
Infratest,NDR. ,T- 1.000,06.09.2001,,28%,35%,10%,7%,,,
Forsa,Die Welt.,T- 1.007,29.08.2001,,28%,34%,10%,5%,,,
Infratest,NDR. ,T- 1.000,16.08.2001,,30%,35%,10%,7%,,,
Infratest,Hamburger,T,12.07.2001,,29%,35%,11%,8%,,,
Forsa,Die Welt,T- 1.050,05.07.2001,,31%,37%,9%,5%,,,
Infratest,NDR. Hamburger,T- 1.002,14.06.2001,,31%,35%,11%,6%,,,
Forsa,Die Welt,T- 1.008,11.05.2001,,33%,34%,12%,5%,,,
Forsa,Die Welt.,T- 1.002,30.03.2001,,31%,36%,13%,4%,,,
Psephos,Hamburger,T- 1.007,06.02.2001,,32%,36%,13%,3%,,,
Infratest,NDR.,T- 1.000,01.12.2000,,30%,37%,12%,5%,,,
Psephos,Hamburger,T- 1.004,27.05.2000,,33%,38%,11%,6%,,,
Psephos,Hamburger,T- 1.001,11.11.1999,,44%,35%,11%,4%,,,
Infratest,NDR.,T- 1.000,11.09.1999,,42%,37%,9%,3%,,,
Bürgerschaftswahl am 21.09.1997,,,,,30.70%,36.20%,13.90%,3.50%,,,
Infratest,NDR.,T,1?.09.1997,,30%,39%,15%,4%,,,
Psephos,Hamburger,T- 1.001,22.02.1997,,30%,37%,18%,5%,,,
