pcon,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_conservative,share_labor,share_joint,year
birmingham - erdington,0.5639539208408502,0.4360460791591498,24,0.47214384095198236,0.10122374062958302,0.44344985709350165,0.5565501429064983,31839,2019
birmingham - hall green,0.36236534403396736,0.6376346559660325,21,0.506841689041396,0.10489375610749507,0.17058007857638086,0.8294199214236191,43270,2019
birmingham - hodge hill,0.37790624911661347,0.6220937508833866,14,0.5624723336683456,0.1295853596214881,0.15999430456346853,0.8400056954365315,42139,2019
birmingham - ladywood,0.28433309431750337,0.7156669056824966,19,0.4926159658295246,0.10348856682168914,0.12518359211078472,0.8748164078892152,38128,2019
birmingham - northfield,0.29525464399150336,0.7047453560084967,30,0.5356167536156818,0.08328251901268637,0.5214244656947274,0.4785755343052725,38274,2019
birmingham - perry barr,0.576557027472777,0.4234429725272229,13,0.4265154811979476,0.13703986549247196,0.2977740223389929,0.7022259776610071,37871,2019
birmingham - selly oak,0.31797885774935086,0.682021142250649,32,0.632211284449098,0.08232335326582779,0.35569814479006834,0.6443018552099317,43014,2019
birmingham - yardley,0.4772495675169155,0.5227504324830845,20,0.5141137799117013,0.1116876040171497,0.352364331421923,0.647635668578077,36099,2019
bishop auckland,0.595204927690076,0.4047950723099239,34,0.5340941494921068,0.08418048218376978,0.5990988748381958,0.40090112516180426,40172,2019
blackburn,0.48076595766963626,0.5192340423303637,27,0.419336167200237,0.09615382190659763,0.26991150442477874,0.7300884955752213,39776,2019
blackley and broughton,0.38732517242159725,0.6126748275784029,24,0.3764833068389919,0.09943682735581781,0.28422030444684165,0.7157796955531583,33372,2019
blackpool north and cleveleys,0.5115834397071455,0.4884165602928544,35,0.5003289610804804,0.08449274253272558,0.6189527288829846,0.38104727111701536,36132,2019
blackpool south,0.46153503319445593,0.538464966805544,26,0.450434926797068,0.09776747263250705,0.5640536036661575,0.4359463963338425,28804,2019
blaydon,0.3680370260027055,0.6319629739972944,32,0.5806690805168759,0.08525435720056142,0.4187978976421881,0.5812021023578119,34057,2019
blyth valley,0.4407243297346857,0.5592756702653142,29,0.4893186598979906,0.09219290026419638,0.5104191055958792,0.48958089440412084,34168,2019
bognor regis and littlehampton,0.7853185736077037,0.21468142639229623,33,0.4652973986941784,0.07147648724526963,0.7644984602364888,0.23550153976351113,42539,2019
bolsover,0.6109137005736708,0.3890862994263292,25,0.4300866253151806,0.09750859470324738,0.5692082647650393,0.43079173523496067,38283,2019
bolton north east,0.4292501341281931,0.570749865871807,24,0.512453369742933,0.10103515404697871,0.5048288196218702,0.4951711803781298,39140,2019
bolton south east,0.6099225739351422,0.39007742606485785,23,0.5220152850340661,0.10170653173404548,0.39278658915166226,0.6072134108483378,35434,2019
bolton west,0.6141218051411439,0.38587819485885616,24,0.4297765918366313,0.09936804767951625,0.5969773299748111,0.40302267002518893,45655,2019
bootle,0.14194826004414032,0.8580517399558597,22,0.50960668346816,0.07440642430553641,0.1034973379842115,0.8965026620157885,43576,2019
boston and skegness,0.7738436912547599,0.22615630874523998,46,0.46193611659807654,0.06168109300192679,0.8344341469782013,0.16556585302179871,38305,2019
bosworth,0.8821140059232623,0.11788599407673778,26,0.479363086358915,0.06324217387802501,0.7866649212375093,0.21333507876249072,45834,2019
bournemouth east,0.6885043680719325,0.3114956319280675,28,0.4777430076192416,0.08751859051852955,0.6072698923159382,0.3927301076840618,41046,2019
bournemouth west,0.7498536551660301,0.25014634483396997,23,0.4654786871978334,0.09030700078793413,0.6302952503209243,0.36970474967907574,38950,2019
bracknell,0.7886984280588293,0.21130157194117077,31,0.5150827572954815,0.07332059905875173,0.7255397074546737,0.27446029254532633,43959,2019
bradford east,0.47610119047906835,0.5238988095209316,28,0.6263654014975619,0.09438311874321484,0.25811870100783874,0.7418812989921613,37506,2019
bradford south,0.7187259305000671,0.28127406949993294,25,0.4503902175605976,0.08992418302701,0.46593483185223905,0.534065168147761,34434,2019
bradford west,0.3267122541074761,0.6732877458925239,13,0.4795416340835752,0.13008025839797405,0.16604454552196377,0.8339554544780362,40453,2019
braintree,0.766374960952041,0.2336250390479589,33,0.536740114367797,0.0736585859090107,0.7832655966567932,0.21673440334320682,43551,2019
brent central,0.05243361692484596,0.9475663830751541,11,0.64202827615331,0.06720682645320575,0.2555519115442279,0.74444808845577215,42688,2019
brent north,0.5872660981354042,0.41273390186459574,28,0.6613555546252496,0.09304081825356891,0.4116914063353956,0.5883085936646044,45743,2019
brentford and isleworth,0.2960071778936779,0.7039928221063221,37,0.7251181783772386,0.07504717949020531,0.3905202215835728,0.6094797784164272,48018,2019
brentwood and ongar,0.8401429161746331,0.15985708382536692,27,0.5629555718205416,0.07052785017970548,0.833689237904985,0.16631076209501505,43551,2019
bridgwater and west somerset,0.7243565101187279,0.27564348988127196,40,0.5840691459208462,0.07065128384667634,0.7588054643651382,0.2411945356348618,47215,2019
brigg and goole,0.702696366071464,0.297303633928536,36,0.48796897720297727,0.07617855180455671,0.7746676347612729,0.22533236523872713,39941,2019
brighton - kemptown,0.3197434342146304,0.6802565657853695,34,0.6632057952339399,0.07998300747682097,0.404047137245566,0.595952862754434,42005,2019
brighton - pavilion,0.4421157753536408,0.5578842246463592,19,0.37969960706940686,0.11393659745136415,0.43511352460768804,0.564886475392312,23387,2019
bristol east,0.5251147381324704,0.47488526186752955,25,0.5375401575366966,0.09987377031604193,0.3790994623655914,0.6209005376344086,44640,2019
bristol north west,0.4769646203367643,0.5230353796632358,25,0.41969925884963544,0.09989381788354484,0.4418804116974351,0.5581195883025649,48968,2019
bristol south,0.3160509468356036,0.6839490531643964,36,0.6698043093040066,0.07748884253733315,0.39267597047745534,0.6073240295225447,45931,2019
bristol west,0.340872461688624,0.659127538311376,43,0.5983580405014988,0.07228471268001045,0.15795881826320501,0.842041181736795,55850,2019
broadland,0.7324942119333182,0.2675057880666818,34,0.5397182735645112,0.07591528587792203,0.7375834112200317,0.26241658877996826,46007,2019
bromley and chislehurst,0.7243369428408643,0.27566305715913575,24,0.4390976273558627,0.09121242058989161,0.6470762997974342,0.35292370020256586,37025,2019
bromsgrove,0.6549841339206758,0.3450158660793242,20,0.5229640329587765,0.10629673518807105,0.7527455698971779,0.24725443010282214,45710,2019
broxbourne,0.745128940649366,0.2548710593506341,21,0.5924572531500687,0.09509689355902812,0.7388975998070196,0.26110240019298037,41455,2019
broxtowe,0.5516987775072673,0.4483012224927328,44,0.6253882433448275,0.07497381912802721,0.5556785662064212,0.44432143379357886,47873,2019
buckingham,0.7880884927778959,0.21191150722210408,19,0.44976065144566224,0.0937536021284011,0.8290242428312403,0.17097575716875965,44673,2019
burnley,0.5884323375866835,0.4115676624133166,14,0.4227239124618185,0.13152395807525902,0.5224674288752992,0.4775325711247009,30088,2019
burton,0.832462612522212,0.16753738747778804,32,0.6263059398837004,0.06601813464754058,0.6624238078164216,0.3375761921835783,44624,2019
bury north,0.5124104262595719,0.4875895737404282,35,0.5751281048837207,0.0844893875533753,0.5012148559527941,0.4987851440472058,43215,2019
bury south,0.5038954428318559,0.4961045571681441,32,0.4784031435300863,0.08838566511409382,0.5046031237118124,0.4953968762881876,43666,2019
bury st edmunds,0.6119672325925198,0.3880327674074802,34,0.47436286590461685,0.08357162106726755,0.7471514480139263,0.25284855198607376,50552,2019
calder valley,0.580915278471461,0.41908472152853915,48,0.6813061884974381,0.07121749517468272,0.5532774784085037,0.4467225215914963,54188,2019
camberwell and peckham,0.028071961412659347,0.9719280385873407,22,0.46817680722395627,0.035216167771419934,0.13860835330366314,0.8613916466963368,46736,2019
camborne and redruth,0.6457994527860257,0.35420054721397437,27,0.37556132116532076,0.09204317013857731,0.5970375658070849,0.40296243419291516,44828,2019
cambridge,0.47527330471203316,0.5247266952879668,31,0.4698002222469134,0.08969277141013202,0.24450436719620142,0.7554956328037986,34118,2019
cannock chase,0.7610673971264776,0.23893260287352236,28,0.44312985983318093,0.08058797636248359,0.7290576821146267,0.2709423178853732,43393,2019
canterbury,0.6595630413080099,0.34043695869199,48,0.6918862663850256,0.06839524164865478,0.48366548042704627,0.5163345195729537,56200,2019
carlisle,0.66782225047641,0.33217774952359014,32,0.6921998065284767,0.08326082741996553,0.6066565809379728,0.39334341906202724,38999,2019
carshalton and wallington,0.9354217228861413,0.06457827711385868,22,0.39114950800581727,0.05240052187407728,0.773965728729138,0.22603427127086198,26903,2019
castle point,0.6346354518977199,0.3653645481022802,25,0.6037512948790995,0.09630644736304975,0.8223830734966593,0.17761692650334077,41308,2019
central devon,0.8906263642516334,0.10937363574836655,26,0.45619183916852046,0.06120930156550184,0.6906755040995072,0.3093244959004928,46469,2019
central suffolk and north ipswich,0.740450762179375,0.25954923782062506,38,0.5560147616111621,0.07111581195252788,0.748233046800382,0.25176695319961795,47115,2019
charnwood,0.7274712245956465,0.2725287754043535,27,0.5617563073108771,0.08569040786047585,0.7340578952868638,0.2659421047131362,47845,2019
chatham and aylesford,0.7233149978589939,0.2766850021410061,23,0.5021824579069076,0.09328087826121836,0.736648626569999,0.26335137343000103,39172,2019
cheadle,0.5974989588513939,0.40250104114860596,23,0.5139593989666463,0.10225584984284448,0.7894914733445998,0.2105085266554002,32545,2019
chelmsford,0.6588756245025551,0.341124375497445,28,0.4209378405378178,0.08959403199570412,0.7562101873120367,0.24378981268796324,42229,2019
chelsea and fulham,0.8677210076653218,0.13227899233467824,13,0.3570940668587646,0.09396450251254883,0.6822632025016805,0.31773679749831957,34217,2019
cheltenham,0.8043956320998872,0.19560436790011287,20,0.3548592836875943,0.0886970402996938,0.9069952558346865,0.09300474416531347,31407,2019
chesham and amersham,0.7517358205609574,0.24826417943904258,17,0.442714750302843,0.10477681508428269,0.8115004208754208,0.18849957912457913,38016,2019
chesterfield,0.5649430696775616,0.4350569303224384,25,0.3179043520604228,0.09915289157676752,0.47920667220773266,0.5207933277922674,34891,2019
chichester,0.7982358267766173,0.20176417322338272,27,0.4141018985970734,0.07723350636025013,0.7960693485642328,0.20393065143576714,44471,2019
chingford and woodford green,0.5191823810703736,0.4808176189296264,18,0.47910730754179087,0.11776436837470336,0.5138074398249453,0.4861925601750547,45700,2019
chippenham,0.8130852401744174,0.1869147598255827,23,0.4780463392453759,0.08128790283412873,0.8288717139571578,0.17112828604284225,37393,2019
chipping barnet,0.41167288823564674,0.58832711176435315,46,0.5658418620749079,0.07256156626218202,0.5120529854011695,0.4879470145988305,50278,2019
chorley,0.4260915857084998,0.5739084142915002,25,0.3983608915821717,0.09890147547876442,NA,NA,0,2019
christchurch,0.9079352685720191,0.09206473142798081,24,0.539934758185728,0.0590158229683202,0.8376748554199002,0.16232514458009983,40462,2019
cities of london and westminster,0.41547503688585075,0.5845249631141494,22,0.34332824554701336,0.10506611135387603,0.5946011927597391,0.4053988072402609,28673,2019
city of chester,0.2707379527899769,0.7292620472100231,33,0.5767275069579905,0.07734983765414966,0.4357916666666667,0.5642083333333333,48000,2019
city of durham,0.21715727934965295,0.782842720650347,35,0.5000402819135392,0.06969320429570688,0.43027999001026723,0.5697200099897328,36037,2019
clacton,0.9191027396784301,0.08089726032156991,36,0.50046964417525,0.045446211672589755,0.8235448210824121,0.17645517891758788,38174,2019
cleethorpes,0.9175562878923775,0.08244371210762236,39,0.657704393333046,0.04404157314592247,0.7518579492003763,0.2481420507996237,42520,2019
colchester,0.7194548512745592,0.28054514872544084,47,0.635898067442343,0.06553212112376665,0.6060885816576974,0.3939114183423026,44411,2019
colne valley,0.5286861673816412,0.47131383261835874,34,0.5216590585057742,0.0856080507142105,0.5473719388797089,0.45262806112029114,53861,2019
congleton,0.6971135709315702,0.3028864290684297,34,0.5986036659454813,0.07880471771384608,0.6896572864937772,0.3103427135062228,48933,2019
copeland,0.5396156772803584,0.46038432271964164,22,0.5885962436482657,0.10626523379852597,0.5732631050915475,0.42673689490845246,39870,2019
corby,0.749873953504013,0.2501260464959871,34,0.4547313601446193,0.07427354199180264,0.5907837034941293,0.4092162965058707,56552,2019
coventry north east,0.4771603813733875,0.5228396186266124,20,0.4785185296640628,0.11168669388539328,0.4017172646427476,0.5982827353572524,39132,2019
coventry north west,0.5705561323005727,0.4294438676994274,37,0.6660535425517647,0.08137697267003799,0.49750168156048813,0.5024983184395119,41628,2019
coventry south,0.4698022360262104,0.5301977639737895,24,0.6244351627464377,0.10187576074378195,0.4948173805154186,0.5051826194845814,38687,2019
crawley,0.5240281440322911,0.4759718559677087,30,0.5574531635510231,0.0911816224711909,0.5914260717410323,0.40857392825896766,45720,2019
crewe and nantwich,0.5033009620752774,0.4966990379247226,44,0.5838061627254099,0.07537619343987764,0.5869938650306749,0.41300613496932514,48900,2019
croydon central,0.6316371094923475,0.3683628905076524,31,0.4675811480337093,0.0866345069082864,0.43841487401395474,0.5615851259860453,48299,2019
croydon north,0.3501288969106832,0.6498711030893168,34,0.5658673979215606,0.08180656029690718,0.2446757869900863,0.7553242130099137,48317,2019
croydon south,0.5310396871738894,0.4689603128261108,30,0.5527550516183339,0.09111101979090255,0.6243073885273317,0.3756926114726683,49631,2019
dagenham and rainham,0.6116758842773736,0.38832411572262643,24,0.5808014250558748,0.09948377105313598,0.4962088864736175,0.5037911135263825,38643,2019
darlington,0.5324992391092178,0.46750076089078213,29,0.48105903126864674,0.09265132997860422,0.5427703334372078,0.4572296665627921,38508,2019
dartford,0.6388008742759297,0.3611991257240704,40,0.6064849607558186,0.07594970659920905,0.696102513714894,0.30389748628510604,48852,2019
daventry,0.8403147121245155,0.1596852878754845,31,0.4830698703817373,0.06579192437737083,0.7714969810535083,0.22850301894649178,48030,2019
denton and reddish,0.6007637908913995,0.3992362091086006,19,0.5197456675327428,0.11235438727179617,0.4048800024646477,0.5951199975353523,32459,2019
derby north,0.6441845092853218,0.3558154907146782,33,0.6937287258895346,0.08334136214937733,0.5317674721096604,0.4682325278903397,39978,2019
derby south,0.6257603858598467,0.3742396141401533,24,0.4647860597166029,0.09878097095518584,0.4194480875779556,0.5805519124220444,37361,2019
derbyshire dales,0.62180621224401,0.37819378775598994,18,0.5873818956347685,0.11430058973765601,0.7102659021073771,0.28973409789262294,41331,2019
devizes,0.4234291856972776,0.5765708143027225,19,0.4160179432850021,0.11335480172241168,0.8039911973592078,0.19600880264079223,39988,2019
dewsbury,0.5935516534462739,0.40644834655372614,30,0.6413236748067219,0.0896749850176492,0.515365080614997,0.484634919385003,50797,2019
don valley,0.6166380109627994,0.3833619890372007,27,0.563570233285183,0.09357024978268544,0.551000337192312,0.448999662807688,35588,2019
doncaster central,0.39030586981741033,0.6096941301825896,26,0.5329984869887818,0.09566914095414086,0.4632556939157365,0.5367443060842635,30998,2019
doncaster north,0.4139857904140292,0.5860142095859707,29,0.48930660471371423,0.09146349483759585,0.45929233940226727,0.5407076605977328,29110,2019
dover,0.8117554651072632,0.18824453489273674,36,0.4716326772706585,0.06515121939162298,0.6352738971398352,0.3647261028601648,45382,2019
dudley north,0.4515865198199742,0.5484134801800259,23,0.5640110324535177,0.10376732646036983,0.6660141068086944,0.3339858931913056,34735,2019
dudley south,0.6735772645096926,0.3264227354903074,24,0.5989823259909122,0.09571462210771234,0.7281923471631726,0.27180765283682745,34105,2019
dulwich and west norwood,0.21333721261577407,0.7866627873842259,28,0.6468107998341263,0.07741918512900728,0.20052100435629694,0.7994789956437031,45681,2019
ealing central and acton,0.47768796765199595,0.5223120323480039,27,0.569440156944703,0.09612919031227014,0.34521925332836795,0.6547807466716321,42964,2019
ealing north,0.5000159305999868,0.4999840694000131,18,0.5458307489130885,0.11785113013794046,0.35995251466794514,0.6400474853320549,43803,2019
ealing - southall,0.36845530275918376,0.6315446972408162,18,0.49475127324794466,0.11369940697290426,0.2720004536176004,0.7279995463823996,35272,2019
easington,0.09889468127446949,0.9011053187255306,19,0.5193676377477854,0.06848531278967414,0.36766539312286345,0.6323346068771365,24865,2019
east devon,0.8845496703550909,0.11545032964490921,40,0.5178875516899297,0.05052760409662003,0.9190340508364601,0.08096594916353993,35447,2019
east ham,0.1438104582163065,0.8561895417836936,25,0.8661968378204865,0.07017948712378069,0.16975910810272746,0.8302408918972726,50230,2019
east hampshire,0.9432130738364108,0.05678692616358916,19,0.43488378870640354,0.05309483629391758,0.8417688067852919,0.1582311932147082,39733,2019
east surrey,0.7072688529506551,0.29273114704934494,22,0.36385620010361175,0.09700975175829202,0.8120170499874633,0.18798295001253676,43871,2019
east worthing and shoreham,0.704632253209206,0.295367746790794,38,0.565586453444979,0.07400669261103553,0.5799529311082584,0.42004706889174154,46740,2019
east yorkshire,0.6642466932423748,0.3357533067576252,55,0.6114365212050532,0.0636785997674608,0.7521299431277523,0.24787005687224767,45189,2019
eastbourne,0.7586812645903652,0.2413187354096348,37,0.4379368660348679,0.07034355909928677,0.8750608785999545,0.12493912140004546,30799,2019
eastleigh,0.7709673004150974,0.22903269958490258,41,0.5676266754921497,0.06562582814450836,0.8121940917786777,0.18780590822132226,40249,2019
eddisbury,0.5308624644729375,0.4691375355270625,21,0.4869169576775787,0.1089008960317015,0.7208901238412341,0.2791098761587659,41747,2019
edmonton,0.4314255961878045,0.5685744038121956,22,0.47039757536853566,0.10559303333205143,0.2801285043521239,0.7198714956478761,36419,2019
ellesmere port and neston,0.43963741377813204,0.560362586221868,29,0.5555648827101206,0.09216857834398871,0.3986539617928674,0.6013460382071326,43238,2019
elmet and rothwell,0.5679253962118228,0.4320746037881772,33,0.6295778660467451,0.08623191783217017,0.6731870895626659,0.32681291043733407,50099,2019
eltham,0.43843420152607604,0.5615657984739241,43,0.6455819399559433,0.07566905491099063,0.4578265572645965,0.5421734427354036,37903,2019
enfield north,0.3220128599229229,0.6779871400770772,24,0.49820686797235403,0.09537657337434924,0.41922962078232306,0.5807703792176769,40188,2019
enfield - southgate,0.5138562533328233,0.4861437466671768,25,0.4547587845712041,0.09996159347340891,0.4462508454923181,0.5537491545076819,41396,2019
epping forest,0.7075860792992427,0.29241392070075733,30,0.6278207836396491,0.08304778136333496,0.7605216778286923,0.2394783221713077,42555,2019
epsom and ewell,0.8342703072118626,0.1657296927881374,23,0.40297345959962927,0.07753354441409524,0.7567843976691639,0.243215602330836,42045,2019
erewash,0.5917077565536041,0.408292243446396,31,0.4520401740268544,0.0882791918981505,0.6191310598912702,0.38086894010872985,44514,2019
erith and thamesmead,0.275662773302566,0.724337226697434,25,0.5541976582208012,0.0893695269580642,0.44781425318002555,0.5521857468199745,36006,2019
esher and walton,0.8017276757749623,0.19827232422503768,18,0.30068661349006665,0.0939741127685466,0.9164556962025316,0.08354430379746836,33970,2019
exeter,0.35377563336400086,0.6462243666359991,44,0.5416281453764249,0.07208240779607439,0.3946232855898381,0.6053767144101618,49361,2019
fareham,0.664711165559823,0.3352888344401771,44,0.5251138825426869,0.07117044712582038,0.778506149641271,0.22149385035872907,46832,2019
faversham and mid kent,0.7544900422686189,0.24550995773138107,24,0.4163547622310085,0.08785281687433168,0.7631730216516575,0.2368269783483426,41752,2019
feltham and heston,0.5799927450241312,0.4200072549758687,20,0.48211060290525576,0.11036330022781675,0.40620151337932353,0.5937984866206765,41893,2019
filton and bradley stoke,0.6136061507603429,0.3863938492396572,28,0.607029046424383,0.09201972663305451,0.5601406050276949,0.4398593949723051,46940,2019
finchley and golders green,0.6574966274086741,0.3425033725913259,28,0.4157252181955434,0.08968094485350618,0.6441654003039271,0.35583459969607295,37509,2019
folkestone and hythe,0.7588238832293872,0.24117611677061276,45,0.5263328419851933,0.06377219830860825,0.7149650406012613,0.28503495939873863,49629,2019
forest of dean,0.6704299750234787,0.3295700249765214,27,0.5996909062328267,0.09046252009114387,0.674419115869073,0.325580884130927,45491,2019
fylde,0.6644615758699368,0.33553842413006313,24,0.40986971679830386,0.09638300119453487,0.7063324472710109,0.29366755272898915,40253,2019
gainsborough,0.710628859295858,0.28937114070414216,30,0.505924674837822,0.08279200517596806,0.7562194604966643,0.24378053950333564,44819,2019
garston and halewood,0.4733829548386378,0.5266170451613622,22,0.6472739447238004,0.10644920532323857,0.1527277519107441,0.8472722480892559,45532,2019
gateshead,0.37402427180895864,0.6259757281910414,20,0.4388956947528559,0.10819660713412803,0.39317507418397624,0.6068249258160238,33700,2019
gedling,0.4309638481678175,0.5690361518321825,37,0.5596211119613866,0.08141219938801984,0.5075854056348728,0.49241459436512725,44757,2019
gillingham and rainham,0.6498128461399788,0.35018715386002114,36,0.5511243171995275,0.07950473625504595,0.683362844737672,0.3166371552623281,41227,2019
gloucester,0.7042390431319752,0.2957609568680249,38,0.5205181436495377,0.07403527133463503,0.6069607210507691,0.39303927894923085,48041,2019
gosport,0.7077049660974111,0.29229503390258904,38,0.5325291108249841,0.07378108569817829,0.7826783892747851,0.21732161072521494,41174,2019
grantham and stamford,0.7781173922292629,0.22188260777073718,51,0.6248168790320507,0.058183401065938806,0.7732268572029001,0.22677314279709992,47585,2019
gravesham,0.7484606579331854,0.2515393420668146,22,0.6695137982790269,0.0925073219361111,0.6787672961747631,0.32123270382523694,43579,2019
great grimsby,0.545571138932975,0.4544288610670249,27,0.5197849732113827,0.09582454477505412,0.6265318098657185,0.37346819013428145,28969,2019
great yarmouth,0.8147837967329886,0.1852162032670114,33,0.4880611830379673,0.0676244445032614,0.723452167092579,0.276547832907421,39523,2019
greenwich and woolwich,0.2564581215721808,0.7435418784278192,37,0.4934311190746895,0.0717893603220936,0.2796974180308309,0.7203025819691691,41906,2019
guildford,0.8819658165372419,0.118034183462758,28,0.4114109889626606,0.06097485283676907,0.8535612350804359,0.1464387649195641,30832,2019
hackney north and stoke newington,0.17288137611640397,0.827118623883596,19,0.38430640820555506,0.08675234136336865,0.14509367781675078,0.8549063221832492,46756,2019
hackney south and shoreditch,0.07452147926646914,0.9254785207335308,27,0.7531326912795306,0.050540789685313094,0.12884695192538714,0.8711530480746128,45783,2019
halesowen and rowley regis,0.7395002890460226,0.2604997109539774,36,0.613380427436828,0.07315121544271451,0.6542411854879918,0.3457588145120082,39140,2019
halifax,0.5019906059953715,0.49800939400462857,33,0.5626547351238834,0.08703813819027513,0.4682235361056824,0.5317764638943175,40423,2019
haltemprice and howden,0.7469704331182033,0.2530295668817966,42,0.5892721403132006,0.06708303404229132,0.7433969493067695,0.25660305069323053,41761,2019
halton,0.3410003260003388,0.6589996739996612,30,0.6581052709152331,0.0865484649715602,0.2609659620568895,0.7390340379431105,39691,2019
hammersmith,0.3217301542282057,0.6782698457717943,22,0.4606139344834541,0.09959460146205915,0.28904754024727547,0.7109524597527245,42301,2019
hampstead and kilburn,0.07391476568461075,0.9260852343153892,23,0.5312477887776469,0.054554070942984326,0.3309825598017726,0.6690174401982274,41972,2019
harborough,0.650765096470144,0.349234903529856,32,0.5663543868496137,0.08427445596204333,0.6873238215013661,0.31267617849863394,46118,2019
harlow,0.6873740834903503,0.31262591650964977,23,0.5598823164133218,0.09665963431505221,0.6716800546915057,0.3283199453084943,40957,2019
harrogate and knaresborough,0.6326392563078993,0.3673607436921007,26,0.48316545032842256,0.0945448260973206,0.845381186163309,0.15461881383669093,35442,2019
harrow east,0.45107786524245597,0.5489221347575441,29,0.6290505245109022,0.09240216162771651,0.5893873085339169,0.41061269146608315,45700,2019
harrow west,0.5555244244159413,0.44447557558405876,28,0.4658858029276904,0.09390668588195078,0.395458481670355,0.604541518329645,41572,2019
hartlepool,0.5127722223075111,0.4872277776924889,19,0.47664432664439293,0.11467043631696228,0.43423700289027917,0.5657629971097209,27333,2019
